comment,date,author,like_count,reply_count
"Sher Singh Rana may have killed Phoolan devi but you know Sher Singh Rana was the one who broke the bar of the jail, went to Afghanistan and bought the ashes Prithviraj Chavan to India which was so heroic that even the Indian Government couldn't do that. Also after returning to India he surrendered himself .",2023-01-22T20:59:57Z,Rajdeep Ganguly,0,0
Phulan devi is a prism of strength❤🙏🏻,2023-01-22T17:29:18Z,Ishani Singh,0,0
Bro u look like aryan khan....jokes aside your videos are amzing,2023-01-22T16:44:04Z,Durva Vanjare,0,0
I am from etawah. Etawah is very close to chambal river. I listen a lot of stories of Phoolan devi 🫶🏽💀😪,2023-01-22T16:01:39Z,UtkarshOP,0,0
Are you on telegram 🙄,2023-01-22T15:34:52Z,Sarbind Kumar,0,0
Hii,2023-01-22T15:34:37Z,Sarbind Kumar,0,0
puttte lal🤣🤣,2023-01-22T12:43:43Z,DJ vlogs,1,0
& I watch your every  video,2023-01-22T07:25:29Z,Robin Bundela,0,0
I am from jalaun,2023-01-22T07:24:45Z,Robin Bundela,0,0
Foolan Devi par bani movie ka naam hai Bandit Queen. Amazon prime par mil jayega,2023-01-22T05:49:25Z,Anjali Mukherjee,0,0
She was a badass.,2023-01-22T05:35:48Z,Priti Singh,0,0
Parents having the responsibility to guide their children,2023-01-22T05:30:28Z,tejas vani mam stu.,0,0
"There is no robbery for good cause. A robber should be given the strictest punishment. Someone worked hard for something, and robber steals it just like that? It is unfair! All the lame excuses of helping the poor and all just nonsense. Why didn't they sell their land, clothes, house, kidneys to help others? Why steal from someone else? Her murder was not revenge, it was karma, she killed and looted innocent people. Some of the people could've been actually innocent who didn't know whereabouts of those rapists, she just shot them then same karma got her back!",2023-01-21T21:34:08Z,R A V E N,0,0
Sher Singh Rana also has interesting story during jail,2023-01-21T17:52:51Z,Abhishek Patil,0,0
"The title ""slayy queen"" is meant for her ❤️",2023-01-21T15:38:00Z,Daksh,1,0
"#slayphoolandevi
#sheisthequeen
#inhernextlifeshemusthaveanicelife
#sheistheidolofourlife 
I cried",2023-01-21T13:41:16Z,•°TEAM_AOT°•,1,1
She was a queen that's all I need to say,2023-01-21T12:17:10Z,Just_passing_by_love,0,0
My mom is a journalist and she had taken her interview years back.,2023-01-21T12:05:51Z,Ragini11bhalotia,5,0
"Make a video on Century Manik, who raped more than 100 girl and celebrated his CENTURY OF RAPE publicly.",2023-01-21T11:21:23Z,Quraishin 1,0,0
Sher Singh Rana 🦁🙏,2023-01-21T10:20:23Z,Ꮶunwar_ Ꮩιveĸ_,1,0
That 'Puttelaal' cracked me up😂,2023-01-21T10:03:02Z,BioTechnics,0,0
Heart touching story big salute to her.,2023-01-21T09:39:28Z,Bhupesh Kansay,1,0
plzzzz make a video on junko furuto,2023-01-21T09:11:14Z,ᵐᵉᵒʷ😽,1,0
"One of the three killers was Sher Singh Rana, a Rajput who killed Phoolan Devi to take revenge, later escaped Tihar jail, went to Afghanistan and successfully brought the remains of Samrat Prithvirqj Chauhan during the reign of Taliban💀",2023-01-21T03:47:57Z,Aditya Prasãd,0,0
Sher Singh Rana ⚔️⚔️,2023-01-20T19:22:29Z,Ayush Thakur,1,0
Once make a video on Sher Singh Rana also...,2023-01-20T18:31:58Z,Jay kumar,0,0
your voice and way of explaining story got me addicted soo much eventhough i watch ur video for the 1st time..its really good keep it up.,2023-01-20T18:00:56Z,SALONI PRAJAPATI,0,0
"i have my end sem tomorrow and i havent started yet, 11:27 pm",2023-01-20T17:58:04Z,janardannn,1,0
bro ye aryan khan videos kyun banane nag gaya?,2023-01-20T17:27:04Z,Aditya Joshi,1,0
Vo dalti thi. Uske sath rape hua jiska usne badla,2023-01-20T16:35:57Z,JUST EATING & COOKING,1,0
Foolan devi is featured on my history book 🗿as a legendary feminist,2023-01-20T15:38:25Z,Sam S,0,0
"i m from auraiya , uttar pradesh. just few km away from jalon , and seema parihaar , she is living in my town dibiyapur . just 400 metres away from my home .",2023-01-20T15:30:32Z,Relaxing Music for peace of mind,0,0
Plzzzzz junku furuta case,2023-01-20T15:21:31Z,Yeah!,0,0
"Phoolan devi was a nice person, but bro you showed sher singh rana in the wrong way.",2023-01-20T12:53:16Z,zenoFC,0,0
Marianne Bachmeier please,2023-01-20T11:02:21Z,Nine,0,0
"this is phoolan devi movie  ---- Bandit Queen - Full Movie HD - Superhit Bollywood Movie - Seema Biswas, Manoj Bajpayee ---- https://youtu.be/x0XxJS5YiZ0. just watch it . amazing movie",2023-01-20T10:28:23Z,dilip kumar,0,0
Sher Singh Rana W,2023-01-20T10:05:19Z,Mohit Singh,0,0
New subscriber 👋 i just love the way you narrate the story. ❤️,2023-01-20T09:54:01Z,Just A cat,2,0
"So you are a fan of Itō Junji ?,Master of horror.
Recently I have been also indulged in reading his mangas and I am really fascinated by his creativity , the way he portrays the event through his art , especially disturbing one is wonderful !.
Guess how come i know ..? I saw the pfp and i realised oh this one is from Itō Junjis' works ,besides you have told that you love manga ,so out of curiosity I thought you are also definitely inspired from his work.

btw i truly Love your narration <3 , the editing, voice , it creates such an viby atmosphere that it soothes me and freshes my mind❤️❤️.Eat well sleep tight ,matane !!",2023-01-20T08:49:33Z,Metalhead Man,5,0
"Mannnn... I'm obsessed with your work dude...!
Keep going 🗿❤️",2023-01-20T08:10:35Z,Aafaq Sarwar,0,0
"Bro I want you to read this comment as I'm about to give you a badass story......
Marianne Bachmeier the mother who shot the murderer of her daughter in court...
You must make a video on this one",2023-01-20T07:34:42Z,Jay Jay,0,0
Please make a video on Marianne Bachmeier. Mother  killed the killer of her 7 year old daughter in front of court judge........ Please,2023-01-20T06:18:00Z,Anjali Maravi,0,0
Can u do a case study on Dana schlosser,2023-01-20T06:12:51Z,Suhani Swamy,0,0
Bhai uttarakhand me kaha se ho ??😅,2023-01-20T04:43:01Z,™BELIEVER,0,0
"Hi SR pay, can you please make a case video of this one… it’s about a mother who killed her daughter’s murderer during the trial in a courtroom… BTW love your narration style, very few from India and Hindi speaking belt deliver so well… you are on my Spotify playlist during my commute and I think I have exhausted all your podcast so far… so keep uploading 😊",2023-01-20T04:42:01Z,zoha deeba Khan,3,2
Pahale police or log ki soch kesi ti abb deko sab sahi hai modi sarkar it means great leader hona chahiye to hi sab sahi hoga,2023-01-20T03:53:17Z,Neet,0,0
I think she was a great lady but she chooses wrong work,2023-01-20T03:51:28Z,Neet,1,0
Since you study so many sensitive and brutal incidents how do you take care of your mental health bro. I just saw your 2-3 videos and boomm💥 my head is aching.,2023-01-19T22:19:09Z,CHETANA,1,0
